country,trade_lost_usd,gdp_loss_pct,degree_centrality_disrupted,betweenness_centrality_disrupted,eigenvector_centrality_disrupted,degree_centrality,betweenness_centrality,eigenvector_centrality,centrality_score
India,12,3.432809157143505e-12,1.0,0.0,0.19902300341733847,1.0,0.0,0.19589598602959638,0.6020679238047077
USA,16,1.1013923940319393e-12,1.0,0.0,0.24600463660784433,1.0,0.0,0.2429856978788187,0.6666666666666666
Russia,0,0.0,0.8260869565217391,0.3722083059704358,0.10756728390349338,0.8333333333333333,0.6204245767881585,0.10164820027978642,0.5162038854225904
France,12,2.8226746515742337e-12,1.0,0.010565648574063722,0.21068601476999732,1.0,0.00951821413579861,0.20665769460127287,0.6183496212275544
Germany,16,2.1367493326748263e-12,1.0,0.0,0.23693364220634736,1.0,0.0,0.23433043828773875,0.654793183759871
Italy,16,5.336798119521941e-12,1.0,0.0,0.23979652642995178,1.0,0.0,0.2371300548449861,0.6586337617330974
China,12,8.605359931621857e-13,1.0,0.0,0.24600463660784433,1.0,0.0,0.24029931116491346,0.662981419980193
Japan,12,3.3005667754074625e-12,1.0,0.0,0.24600463660784433,1.0,0.0,0.24029931116491346,0.662981419980193
Argentina,4,1.1215533327682316e-11,1.0,2.2757524013384343,0.16551332776507785,1.0,2.0809034558998234,0.1593119878455943,0.8838693232893983
Portugal,16,2.843563229463224e-11,1.0,0.0,0.23912159944876668,1.0,0.0,0.23653739936791873,0.6578207434056251
Spain,16,6.605143878287856e-12,1.0,0.013185900189402914,0.21858429004954721,1.0,0.016585351423977802,0.21732576221646777,0.6341118140720461
Belgium,16,7.59718546640584e-12,1.0,0.0,0.2415415045357383,1.0,0.0,0.23892791748946154,0.6611001107955733
Australia,12,7.237314835024065e-12,1.0,0.0,0.23160377550880087,1.0,0.0,0.2267198303486118,0.6443527778627819
Pakistan,8,3.9019438710499714e-11,1.0,0.0,0.22798033562165113,1.0,0.0,0.220517371941169,0.6358441036738781
Afghanistan,0,0.0,0.8260869565217391,0.738155093945538,0.10412224309532445,0.8333333333333333,1.3874253027621226,0.09835291926643869,0.6340509442294395
Israel,12,2.039098515519651e-11,0.8695652173913043,0.022427622494113605,0.2182328265208102,0.875,0.02327703572389314,0.21482468328379273,0.5900817041403732
Iran,0,0.0,0.7391304347826086,0.32232050644852306,0.09102881354837307,0.75,0.6185894915265753,0.08602946449324354,0.46670719872402144
Iraq,0,0.0,0.7826086956521738,0.6716094062764896,0.101042487942564,0.7916666666666666,1.1295761897341945,0.09539115857417008,0.5749616943822564
Bangladesh,0,0.0,0.8260869565217391,0.3114336311363331,0.10790202419392797,0.8333333333333333,0.6287937484255679,0.10186551140998988,0.5178372187659704
Sri Lanka,12,1.4300042438452042e-10,1.0,0.0,0.240462611292914,1.0,0.0,0.23522458606796862,0.6560197961188636
Canada,12,4.1072619529941114e-12,1.0,0.0,0.17564116994870516,1.0,0.0,0.17415989673693666,0.5722498597754141
UK,16,3.517989877587621e-12,1.0,0.09358562798582203,0.21691106968276372,1.0,0.08330447819046066,0.215618060576135,0.6424135459323203
Sweden,16,1.2510349905828782e-11,1.0,0.0,0.20520056384440233,1.0,0.0,0.20473377375827603,0.6141918029820016
Saudi Arabia,4,2.9488875223525585e-12,0.9130434782608695,0.0,0.21561486237327762,0.9166666666666666,0.0,0.20638761033407965,0.5886827960142496
